Date,Price,Open,High,Low,Change %,VaR,rf,kelly,kelly_ratio,portfolio,equity,cash
09/12/2013,1683.42,1689.21,1689.97,1681.96,-0.0034000000000000002,-0.0139,0.02,0.016004614945039918,0.0001600461494503992,2.3936167545995104e+16,-65437631862243.336,2.4481864993342348e+16
09/13/2013,1687.99,1685.04,1688.73,1682.22,0.0027,-0.0139,0.02,-0.21733480731596946,-0.0021733480731596947,2.4416427361480104e+16,-65614313468271.39,2.4971502293209196e+16
09/16/2013,1697.6,1691.7,1704.95,1691.7,0.005699999999999999,-0.0139,0.02,-0.22951760606498864,-0.0022951760606498865,2.4905887979740924e+16,-65988315055040.54,2.547093233907338e+16
09/17/2013,1704.76,1697.73,1705.52,1697.73,0.0042,-0.0139,0.02,-0.5100276415097621,-0.005100276415097621,2.540494402401834e+16,-66265465978271.71,2.598035098585485e+16
09/23/2013,1701.84,1711.44,1711.44,1697.1,-0.004699999999999999,-0.0139,0.02,-0.1402242860260108,-0.001402242860260108,2.5914085519876576e+16,-65954018288173.83,2.6499958005571944e+16
09/24/2013,1697.42,1702.6,1707.63,1694.9,-0.0026,-0.0139,0.02,-0.31611441406296875,-0.0031611441406296874,2.6434003987283772e+16,-65782537840624.57,2.7029957165683384e+16
09/25/2013,1692.77,1698.02,1701.71,1691.88,-0.0027,-0.0139,0.02,-0.41555805291466247,-0.004155580529146625,2.696417462784276e+16,-65604924988454.88,2.7570556308997052e+16
09/26/2013,1698.67,1694.05,1703.85,1693.11,0.0034999999999999996,-0.0139,0.02,-0.6421087966554876,-0.006421087966554876,2.7504951384008596e+16,-65834542225914.48,2.812196743517699e+16
09/27/2013,1691.75,1695.52,1695.52,1687.11,-0.0040999999999999995,-0.0139,0.02,-0.22686934494454605,-0.0022686934494454605,2.8056132892951076e+16,-65564620602788.23,2.8684406783880532e+16
09/30/2013,1681.55,1687.26,1687.26,1674.99,-0.006,-0.0139,0.02,-0.8257722744781978,-0.008257722744781978,2.8618842163277744e+16,-65171232879171.5,2.9258094919558144e+16
10/01/2013,1695.0,1682.41,1696.55,1682.07,0.008,-0.0139,0.02,-0.7810690517104968,-0.007810690517104968,2.9192923686678972e+16,-65692602742204.875,2.9843256817949308e+16
10/02/2013,1693.87,1691.9,1693.87,1680.34,-0.0007000000000000001,-0.0139,0.02,-0.7358568604742425,-0.007358568604742425,2.9777564215207104e+16,-65646617920285.33,3.0440121954308296e+16
10/04/2013,1690.5,1678.79,1691.94,1677.33,0.0070999999999999995,-0.0139,0.02,-0.8182693880310177,-0.008182693880310177,3.0374475336388012e+16,-66112708907519.36,3.1048924393394464e+16
10/07/2013,1676.12,1687.15,1687.15,1674.7,-0.0085,-0.0139,0.02,-0.5120458737444689,-0.005120458737444688,3.0982811684486944e+16,-65550750881805.445,3.166990288126235e+16
10/08/2013,1655.45,1676.22,1676.79,1655.03,-0.0123,-0.0138,0.02,-0.5444397641768445,-0.005444397641768445,3.1604352130380548e+16,-64744476645959.24,3.23033009388876e+16
10/10/2013,1692.56,1660.88,1692.56,1660.88,0.0218,-0.0138,0.02,-0.18117723731292212,-0.0018117723731292212,3.223855646224164e+16,-66155906236841.16,3.294936695766535e+16
10/11/2013,1703.2,1691.09,1703.44,1688.52,0.0063,-0.0138,0.02,-0.05101688654083571,-0.000510168865408357,3.288321105142851e+16,-66572688446133.25,3.360835429681866e+16
10/14/2013,1710.14,1699.86,1711.03,1692.13,0.0040999999999999995,-0.0138,0.02,-0.4771409420093557,-0.004771409420093557,3.354178160837253e+16,-66845636468762.4,3.428052138275503e+16
