Date,Price,Open,High,Low,Change %,Change,rf,VaR,kelly,kelly_ratio,portfolio,equity,cash
10/28/2016,256.53,256.45,257.3,255.89,-0.05%,-0.0005,2.2735524321415568e-05,-0.0029,-0.039610778314656446,-0.039610778314656446,0.39142855823322387,0.5638438271996021,-0.17270125827584046
10/31/2016,255.93,255.6,256.66,255.21,-0.23%,-0.0023,2.114424125321257e-05,-0.0029,-0.10704893347327124,-0.10704893347327124,0.39114256892376165,0.562546986397043,-0.17270490991291018
11/01/2016,255.99,255.35,256.3,253.51,0.02%,0.0002,2.114424125321257e-05,-0.0029,-0.20845763937379388,-0.20845763937379388,0.3898420764841328,0.5626594957943224,-0.172708561627191
11/02/2016,252.83,254.27,254.77,252.33,-1.23%,-0.0123,2.114424125321257e-05,-0.0029,-0.6106314260606481,0.0,0.3899509341671314,0.5557387839960523,-0.17271221341868453
11/03/2016,252.9,252.44,253.74,251.72,0.03%,0.0003,2.313324659231064e-05,-0.0029,-0.6645092886254303,-0.6645092886254303,0.3830265705773677,0.5559055056312511,-0.17271620881290706
11/04/2016,252.57,252.85,253.29,251.86,-0.13%,-0.0013,2.193996159971512e-05,-0.0029,-0.722918145736142,-0.722918145736142,0.383189296818344,0.5551828284739304,-0.17271999819989606
11/07/2016,254.6,254.79,255.42,254.0,0.80%,0.008,2.193996159971512e-05,-0.0029,-0.4051070396907445,-0.4051070396907445,0.3824628302740344,0.5596242911017218,-0.17272378767002405
11/08/2016,255.26,256.2,256.31,254.1,0.26%,0.0026,2.2735524321415568e-05,-0.0029,0.08681792183401356,0.08681792183401356,0.3869005034316978,0.5610793142585863,-0.1727277146358995
11/09/2016,249.67,255.83,257.03,246.51,-2.19%,-0.0219,2.6313607637495906e-05,-0.0029,-0.6784846991939707,0.0,0.3883515996226867,0.5487916772763232,-0.17273225972521056
11/10/2016,255.31,253.8,255.31,252.64,2.26%,0.0226,2.7902844222715828e-05,-0.0029,0.022263508898580954,0.022263508898580954,0.3760594175511126,0.561194369182768,-0.1727370794465459
11/11/2016,251.99,252.93,253.88,251.9,-1.30%,-0.013000000000000001,2.7902844222715828e-05,-0.0029,-0.5880307097208758,0.0,0.38845728973622207,0.553898842383392,-0.1727418993023652
11/14/2016,250.01,251.59,252.36,250.0,-0.79%,-0.0079,3.187318653585791e-05,-0.0029,-0.6053445896899814,0.0,0.3811569430810269,0.5495230415285632,-0.1727474051371442
11/15/2016,249.2,250.39,250.93,249.18,-0.32%,-0.0032,3.1476328884005866e-05,-0.0029,-0.714068606053054,0.0,0.37677563639141903,0.5477645677956718,-0.17275284259128215
11/16/2016,250.32,250.93,251.54,250.23,0.45%,0.0045000000000000005,3.107943201308139e-05,-0.0029,-0.7925505748109917,-0.7925505748109917,0.3750117252043897,0.5502295083507523,-0.17275821165150854
11/17/2016,250.46,249.62,250.86,248.71,0.06%,0.0006,3.187318653585791e-05,-0.0029,-0.8070469528082593,-0.8070469528082593,0.37747129669924384,0.5505596460557628,-0.1727637180062141
11/18/2016,250.21,250.9,251.02,249.23,-0.10%,-0.001,3.2270004976409083e-05,-0.0029,-0.8403002476048863,-0.8403002476048863,0.3777959280495487,0.550009086409707,-0.1727692930922539
11/21/2016,249.51,249.7,250.8,248.93,-0.28%,-0.0028000000000000004,3.107943201308139e-05,-0.0029,-1.1409389381049775,-1.1409389381049775,0.37723979331745316,0.5484690609677598,-0.1727746626637525
11/22/2016,252.37,250.85,252.85,250.47,1.15%,0.0115,3.107943201308139e-05,-0.0029,-0.7136783260976983,-0.7136783260976983,0.3756943983040073,0.5547764551688891,-0.17278003240213433
11/23/2016,253.66,253.09,254.71,252.22,0.51%,0.0051,3.187318653585791e-05,-0.0029,-1.0386661275577258,-1.0386661275577258,0.3819964227667547,0.5576058150902504,-0.17278553945233674
11/24/2016,252.03,253.22,253.71,251.44,-0.64%,-0.0064,3.187318653585791e-05,-0.0029,-1.4628885707660249,0.0,0.38482027563791366,0.5540371378736728,-0.1727910466780664
11/25/2016,252.26,252.19,252.84,251.64,0.09%,0.0009,3.2270004976409083e-05,-0.0029,-1.7156944652595596,-1.7156944652595596,0.3812460911956064,0.5545357712977591,-0.1727966226460026
11/28/2016,252.96,252.46,253.63,250.87,0.28%,0.0028000000000000004,3.306352425447301e-05,-0.0029,-1.6565915727168652,-1.6565915727168652,0.3817391486517565,0.5560884714573928,-0.17280233591132654
11/29/2016,252.91,252.98,253.63,252.32,-0.02%,-0.0002,3.187318653585791e-05,-0.0029,-2.006313175105211,-2.006313175105211,0.3832861355460663,0.5559772537631014,-0.17280784367241286
11/30/2016,254.26,253.2,255.0,252.86,0.53%,0.0053,3.1476328884005866e-05,-0.0029,-1.7925329033050128,-1.7925329033050128,0.3831694100906885,-0.6868437751275309,1.0700131852182193
12/01/2016,254.48,254.84,255.23,254.06,0.09%,0.0009,3.306352425447301e-05,-0.0029,-1.81822921280654,-1.81822921280654,0.3831694100906884,-0.6874619345251456,1.0700485636251214
12/02/2016,252.88,253.93,254.22,252.06,-0.63%,-0.0063,3.385688677992604e-05,-0.003,-1.9979990589660697,0.0,0.38258662909997576,-0.6831309243376372,1.070084792138189
12/05/2016,252.14,252.12,253.04,251.52,-0.29%,-0.0029,3.2270004976409083e-05,-0.003,-2.1395862602318667,-2.1395862602318667,0.38695386780055185,-0.6811498446570581,1.0701193237797566
12/06/2016,255.63,253.88,256.27,253.85,1.38%,0.0138,3.2270004976409083e-05,-0.003,-2.1729620680961323,-2.1729620680961323,0.3889694791226985,-0.6905497125133255,1.0701538565356603
